"Time (LCLG)","Lat (deg)","Lon (deg)","Alt (km)"
1 Sep 2017 00:00:00.640,-34.028,92.554,525.032119
1 Sep 2017 00:01:00.640,-37.772,91.559,526.340183
1 Sep 2017 00:02:00.640,-41.508,90.485,527.627843
1 Sep 2017 00:03:00.640,-45.234,89.310,528.874249
1 Sep 2017 00:04:00.640,-48.948,88.007,530.058559
1 Sep 2017 00:05:00.640,-52.648,86.535,531.160298
1 Sep 2017 00:06:00.640,-56.331,84.839,532.159711
1 Sep 2017 00:07:00.640,-59.990,82.836,533.038101
1 Sep 2017 00:08:00.640,-63.618,80.400,533.778148
1 Sep 2017 00:09:00.640,-67.201,77.330,534.364212
1 Sep 2017 00:10:00.640,-70.716,73.286,534.782602
1 Sep 2017 00:11:00.640,-74.118,67.661,535.021820
1 Sep 2017 00:12:00.640,-77.318,59.314,535.072768
1 Sep 2017 00:13:00.640,-80.120,46.084,534.928918
1 Sep 2017 00:14:00.640,-82.088,24.842,534.586443
1 Sep 2017 00:15:00.640,-82.533,-3.639,534.044309
1 Sep 2017 00:16:00.640,-81.219,-29.141,533.304323
1 Sep 2017 00:17:00.640,-78.744,-45.896,532.371135
1 Sep 2017 00:18:00.640,-75.699,-56.263,531.252202
1 Sep 2017 00:19:00.640,-72.374,-63.019,529.957706
1 Sep 2017 00:20:00.640,-68.901,-67.731,528.500424
1 Sep 2017 00:21:00.640,-65.340,-71.220,526.895570
1 Sep 2017 00:22:00.640,-61.723,-73.932,525.160583
1 Sep 2017 00:23:00.640,-58.068,-76.127,523.314887
1 Sep 2017 00:24:00.640,-54.385,-77.960,521.379614
1 Sep 2017 00:25:00.640,-50.681,-79.533,519.377297
1 Sep 2017 00:26:00.640,-46.961,-80.913,517.331537
1 Sep 2017 00:27:00.640,-43.226,-82.146,515.266647
1 Sep 2017 00:28:00.640,-39.480,-83.267,513.207281
1 Sep 2017 00:29:00.640,-35.725,-84.299,511.178057
1 Sep 2017 00:30:00.640,-31.960,-85.262,509.203165
1 Sep 2017 00:31:00.640,-28.188,-86.168,507.305996
1 Sep 2017 00:32:00.640,-24.410,-87.031,505.508759
1 Sep 2017 00:33:00.640,-20.625,-87.858,503.832135
1 Sep 2017 00:34:00.640,-16.837,-88.658,502.294942
1 Sep 2017 00:35:00.640,-13.043,-89.437,500.913834
1 Sep 2017 00:36:00.640,-9.247,-90.200,499.703040
1 Sep 2017 00:37:00.640,-5.448,-90.952,498.674138
1 Sep 2017 00:38:00.640,-1.647,-91.698,497.835885
1 Sep 2017 00:39:00.640,2.155,-92.442,497.194089
1 Sep 2017 00:40:00.640,5.957,-93.189,496.751543
1 Sep 2017 00:41:00.640,9.758,-93.942,496.508003
1 Sep 2017 00:42:00.640,13.559,-94.708,496.460233
1 Sep 2017 00:43:00.640,17.357,-95.490,496.602098
1 Sep 2017 00:44:00.640,21.153,-96.294,496.924707
1 Sep 2017 00:45:00.640,24.945,-97.127,497.416613
1 Sep 2017 00:46:00.640,28.732,-97.997,498.064048
1 Sep 2017 00:47:00.640,32.514,-98.913,498.851203
1 Sep 2017 00:48:00.640,36.290,-99.887,499.760540
1 Sep 2017 00:49:00.640,40.058,-100.934,500.773131
1 Sep 2017 00:50:00.640,43.816,-102.074,501.869015
1 Sep 2017 00:51:00.640,47.564,-103.333,503.027566
1 Sep 2017 00:52:00.640,51.299,-104.746,504.227874
1 Sep 2017 00:53:00.640,55.017,-106.364,505.449114
1 Sep 2017 00:54:00.640,58.713,-108.259,506.670913
1 Sep 2017 00:55:00.640,62.381,-110.542,507.873706
1 Sep 2017 00:56:00.640,66.007,-113.388,509.039056
1 Sep 2017 00:57:00.640,69.574,-117.084,510.149971
1 Sep 2017 00:58:00.640,73.044,-122.138,511.191168
1 Sep 2017 00:59:00.640,76.344,-129.496,512.149318
1 Sep 2017 01:00:00.640,79.321,-140.972,513.013249
1 Sep 2017 01:01:00.640,81.623,-159.604,513.774104
1 Sep 2017 01:02:00.640,82.595,173.193,514.425463
1 Sep 2017 01:03:00.640,81.752,145.540,514.963419
1 Sep 2017 01:04:00.640,79.526,126.247,515.386604
1 Sep 2017 01:05:00.640,76.587,114.357,515.696182
1 Sep 2017 01:06:00.640,73.308,106.769,515.895786
1 Sep 2017 01:07:00.640,69.853,101.583,515.991417
1 Sep 2017 01:08:00.640,66.300,97.807,515.991303
1 Sep 2017 01:09:00.640,62.684,94.910,515.905713
1 Sep 2017 01:10:00.640,59.029,92.593,515.746741
1 Sep 2017 01:11:00.640,55.345,90.673,515.528054
1 Sep 2017 01:12:00.640,51.640,89.038,515.264607
1 Sep 2017 01:13:00.640,47.919,87.613,514.972341
1 Sep 2017 01:14:00.640,44.186,86.344,514.667856
1 Sep 2017 01:15:00.640,40.442,85.197,514.368072
1 Sep 2017 01:16:00.640,36.690,84.145,514.089878
1 Sep 2017 01:17:00.640,32.932,83.166,513.849788
1 Sep 2017 01:18:00.640,29.167,82.247,513.663595
1 Sep 2017 01:19:00.640,25.397,81.375,513.546034
1 Sep 2017 01:20:00.640,21.624,80.541,513.510470
1 Sep 2017 01:21:00.640,17.847,79.736,513.568605
1 Sep 2017 01:22:00.640,14.068,78.954,513.730216
1 Sep 2017 01:23:00.640,10.287,78.190,514.002932
1 Sep 2017 01:24:00.640,6.505,77.437,514.392045
1 Sep 2017 01:25:00.640,2.723,76.692,514.900371
1 Sep 2017 01:26:00.640,-1.060,75.951,515.528157
1 Sep 2017 01:27:00.640,-4.841,75.208,516.273036
1 Sep 2017 01:28:00.640,-8.621,74.459,517.130033
1 Sep 2017 01:29:00.640,-12.398,73.701,518.091627
1 Sep 2017 01:30:00.640,-16.173,72.928,519.147853
1 Sep 2017 01:31:00.640,-19.944,72.136,520.286459
1 Sep 2017 01:32:00.640,-23.711,71.316,521.493101
1 Sep 2017 01:33:00.640,-27.473,70.464,522.751584
1 Sep 2017 01:34:00.640,-31.229,69.569,524.044133
1 Sep 2017 01:35:00.640,-34.979,68.622,525.351692
1 Sep 2017 01:36:00.640,-38.721,67.608,526.654256
1 Sep 2017 01:37:00.640,-42.455,66.510,527.931208
1 Sep 2017 01:38:00.640,-46.178,65.306,529.161672
