"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
1 Oct 2017 00:00:00.000,-63.604,127.486,520.413422,-0.060379,-0.045271,0.015892
1 Oct 2017 00:01:00.000,-67.201,124.408,521.315134,-0.059461,-0.058237,0.014120
1 Oct 2017 00:02:00.000,-70.729,120.350,522.103243,-0.058015,-0.078662,0.012111
1 Oct 2017 00:03:00.000,-74.142,114.698,522.764536,-0.055547,-0.112802,0.009900
1 Oct 2017 00:04:00.000,-77.352,106.294,523.288016,-0.050918,-0.173284,0.007524
1 Oct 2017 00:05:00.000,-80.157,92.945,523.665081,-0.041393,-0.281541,0.005026
1 Oct 2017 00:06:00.000,-82.115,71.493,523.889661,-0.021692,-0.434786,0.002449
1 Oct 2017 00:07:00.000,-82.528,42.859,523.958325,0.008734,-0.483414,-0.000163
1 Oct 2017 00:08:00.000,-81.177,17.445,523.870322,0.034183,-0.348700,-0.002765
1 Oct 2017 00:09:00.000,-78.677,0.835,523.627604,0.047516,-0.214449,-0.005312
1 Oct 2017 00:10:00.000,-75.613,-9.430,523.234783,0.053848,-0.135518,-0.007760
1 Oct 2017 00:11:00.000,-72.275,-16.122,522.699057,0.057078,-0.091692,-0.010068
1 Oct 2017 00:12:00.000,-68.791,-20.794,522.030090,0.058893,-0.066183,-0.012195
1 Oct 2017 00:13:00.000,-65.222,-24.256,521.239851,0.060007,-0.050401,-0.014104
1 Oct 2017 00:14:00.000,-61.598,-26.950,520.342412,0.060742,-0.040084,-0.015763
1 Oct 2017 00:15:00.000,-57.937,-29.131,519.353711,0.061257,-0.033024,-0.017142
1 Oct 2017 00:16:00.000,-54.250,-30.953,518.291285,0.061637,-0.028008,-0.018217
1 Oct 2017 00:17:00.000,-50.543,-32.518,517.173972,0.061930,-0.024333,-0.018969
1 Oct 2017 00:18:00.000,-46.820,-33.892,516.021583,0.062163,-0.021574,-0.019384
1 Oct 2017 00:19:00.000,-43.084,-35.120,514.854566,0.062354,-0.019461,-0.019456
1 Oct 2017 00:20:00.000,-39.338,-36.236,513.693642,0.062515,-0.017816,-0.019182
1 Oct 2017 00:21:00.000,-35.583,-37.265,512.559450,0.062650,-0.016521,-0.018567
